Date,Support,Oppose,Don't Know
2016-08-02,46,42,12
2016-08-09,45,44,12
2016-08-17,46,43,11
2016-08-23,45,43,12
2016-08-31,47,44,9
2016-09-14,46,44,11
2016-10-12,45,43,11
2016-11-15,46,43,12
2016-11-29,44,45,11
2016-12-05,44,42,14
2016-12-19,44,44,12
2017-01-04,47,43,11
2017-01-10,46,42,13
2017-01-18,46,42,12
2017-01-31,45,42,12
2017-02-13,46,42,12
2017-02-22,45,45,10
2017-02-28,45,44,11
2017-03-14,44,42,15
2017-03-21,44,44,12
2017-03-27,44,43,13
2017-04-06,46,42,11
2017-04-13,45,43,12
2017-04-19,46,43,11
2017-04-26,43,45,12
2017-05-03,46,43,11
2017-05-10,44,45,11
2017-05-17,46,43,11
2017-05-25,46,43,11
2017-05-31,44,45,11
2017-06-07,45,45,10
2017-06-22,44,45,11
2017-07-11,45,43,12
2017-07-19,43,43,14
2017-08-01,45,45,10
2017-08-18,45,43,12
2017-08-22,43,45,11
2017-08-31,44,44,12
2017-09-12,44,45,11
2017-09-24,44,45,11
2017-10-11,42,47,11
2017-10-19,42,45,14
2017-11-08,42,46,12
2017-11-28,42,44,14
2017-12-05,42,45,13
2017-12-11,44,45,11
2017-12-20,42,45,12
2018-01-08,42,46,12
2018-01-17,45,44,12
2018-01-29,40,46,11
2018-02-06,43,44,13
2018-02-13,42,46,12
2018-02-20,42,45,12
2018-02-27,42,45,12
2018-03-06,43,45,12
2018-03-27,42,45,13
2018-04-10,42,46,12
2018-04-17,42,45,13
2018-04-25,42,45,13
2018-05-01,42,47,11
2018-05-09,43,45,12
2018-05-14,44,45,12
2018-05-21,43,44,13
2018-05-29,40,47,13
2018-06-05,44,44,13
2018-06-12,43,46,12
2018-06-19,43,44,13
2018-06-26,43,46,11
2018-07-04,41,46,13
2018-07-09,42,46,12
2018-07-11,41,46,12
2018-07-17,42,47,12
2018-07-23,42,46,12
2018-08-09,42,45,13
2018-08-14,43,45,12
2018-08-21,41,47,12
2018-08-29,42,47,11
2018-09-04,42,48,11
2018-09-13,42,46,12
2018-09-19,40,47,12
2018-10-01,42,47,11
2018-10-09,40,47,13
2018-10-23,41,47,12
2018-11-05,41,45,14
2018-11-15,40,47,12
2018-11-20,41,47,12
2018-11-27,42,48,11
2018-12-04,38,49,13
2018-12-11,41,48,10
2019-01-07,39,48,12
2019-01-14,40,48,12
2019-01-31,41,48,11
2019-02-04,39,48,13
2019-02-23,40,48,13
2019-03-07,40,49,11
2019-03-25,41,48,12
2019-04-03,42,47,11
2019-04-11,41,48,11
2019-05-29,41,46,13
2019-06-06,42,47,11
2019-06-10,41,47,12
2019-07-03,41,48,11
2019-07-17,40,47,12
2019-07-30,41,49,11
2019-08-06,41,47,13
2019-08-14,42,46,11
2019-08-23,41,48,11
2019-08-28,41,47,13
2019-08-29,40,50,10
2019-09-03,41,48,11
2019-10-01,40,49,11
2019-10-09,42,48,10
2019-10-15,42,47,11
2019-10-21,41,47,11
2019-11-06,40,49,11
2019-11-12,41,47,11
2020-01-26,40,47,13
2020-02-02,43,46,12
2020-02-10,43,44,13
2020-04-17,43,44,13
2020-04-24,45,43,12
2020-05-19,43,45,13
2020-05-30,42,45,13
2020-06-12,40,47,13
2020-07-23,42,47,11
2020-07-31,41,47,13
2020-08-05,39,49,12
2020-08-12,42,46,12
2020-08-19,40,45,15
2020-08-25,41,47,13
2020-09-04,42,45,13
2020-09-09,41,46,14
2020-09-24,39,50,11
2020-09-30,39,49,12
2020-10-07,39,48,13
2020-10-22,38,50,12
2020-10-29,40,47,13
2020-11-05,41,49,11
2020-11-12,38,51,12
2020-11-18,39,50,11
2020-11-27,38,50,12
2020-12-03,39,49,13
2020-12-09,41,47,12
2020-12-16,40,51,9
2021-01-05,40,48,12
2021-01-14,42,47,11
2021-01-22,40,48,13
2021-01-27,40,48,12
2021-02-03,43,45,12
2021-02-10,43,46,11
2021-02-18,41,47,12
2021-02-26,42,46,12
2021-03-04,41,45,14
2021-03-10,43,45,12
2021-03-26,44,44,12
2021-04-01,46,43,11
2021-04-08,42,46,11
2021-04-14,41,45,14
2021-05-20,45,44,11
2021-06-10,43,44,13
2021-06-17,43,46,11
2021-06-30,42,46,13
2021-07-08,41,45,14
2021-07-16,41,47,12
2021-07-29,43,45,11
2021-08-06,42,46,12
2021-08-26,41,47,12
2021-09-03,39,48,13
2021-09-16,40,47,13
2021-10-13,38,49,13
2021-11-04,39,48,13
2021-11-11,37,50,13
2021-11-18,39,47,14
2021-11-25,40,48,14
2021-12-02,38,49,13
2021-12-15,40,48,12
2021-12-20,39,49,12
2022-01-07,38,50,12
2022-01-12,38,49,13
2022-02-02,39,48,13
2022-03-04,39,49,12
2022-03-23,38,49,13
2022-04-07,38,49,13
2022-04-20,38,49,12
2022-04-27,37,49,14
2022-05-06,39,47,13
2022-05-19,39,49,13
2022-05-25,37,49,14
2022-06-29,36,50,14
2022-07-07,38,51,11
2022-07-14,35,53,12
2022-07-22,37,49,13
2022-07-28,36,52,12
2022-08-25,35,52,14
2022-09-01,36,51,13
2022-09-07,37,51,12
2022-09-22,34,53,13
2022-10-07,35,52,13
2022-10-12,34,52,13
2022-10-21,34,54,12
2022-11-02,35,52,13
2022-11-10,32,56,12
