isodate,year,quarter,recession,r_index,l_index,dowjones,election,btm50,top1
1968-01-01,1968,1,0,1.8,,905.10,1,20.35,13.43
1968-04-01,1968,2,0,1.2,,840.70,1,20.35,13.43
1968-07-01,1968,3,0,2.3,,897.80,1,20.35,13.43
1968-10-01,1968,4,0,6.3,,935.80,1,20.35,13.43
1969-01-01,1969,1,0,13.0,,943.80,0,21.03,12.39
1969-04-01,1969,2,1,20.5,,935.50,0,21.03,12.39
1969-07-01,1969,3,1,45.7,,873.20,0,21.03,12.39
1969-10-01,1969,4,1,89.2,,813.10,0,21.03,12.39
1970-01-01,1970,1,1,97.6,,800.40,0,20.84,11.46
1970-04-01,1970,2,1,91.6,,785.60,0,20.84,11.46
1970-07-01,1970,3,1,95.0,,683.50,0,20.84,11.46
1970-10-01,1970,4,1,94.7,,760.70,0,20.84,11.46
1971-01-01,1971,1,0,15.9,,838.90,0,20.16,11.84
1971-04-01,1971,2,0,10.0,,904.40,0,20.16,11.84
1971-07-01,1971,3,0,12.2,,891.10,0,20.16,11.84
1971-10-01,1971,4,0,3.6,,887.20,0,20.16,11.84
1972-01-01,1972,1,0,1.0,,890.20,1,19.96,11.85
1972-04-01,1972,2,0,0.3,,940.70,1,19.96,11.85
1972-07-01,1972,3,0,0.8,,929.00,1,19.96,11.85
1972-10-01,1972,4,0,0.4,,953.30,1,19.96,11.85
1973-01-01,1973,1,0,0.7,,1020.00,0,20.06,11.72
1973-04-01,1973,2,0,10.0,,951.00,0,20.06,11.72
1973-07-01,1973,3,0,19.9,,891.70,0,20.06,11.72
1973-10-01,1973,4,1,72.0,,947.10,0,20.06,11.72
1974-01-01,1974,1,1,99.6,,850.90,0,20.54,11.18
1974-04-01,1974,2,1,99.2,,846.70,0,20.54,11.18
1974-07-01,1974,3,1,99.3,,802.40,0,20.54,11.18
1974-10-01,1974,4,1,100.0,,607.90,0,20.54,11.18
1975-01-01,1975,1,1,100.0,,616.20,0,19.99,11.12
1975-04-01,1975,2,0,42.8,,768.20,0,19.99,11.12
1975-07-01,1975,3,0,0.1,,879.00,0,19.99,11.12
1975-10-01,1975,4,0,0.5,,793.90,0,19.99,11.12
1976-01-01,1976,1,0,0.1,,852.40,1,20.08,11.03
1976-04-01,1976,2,0,0.9,,999.50,1,20.08,11.03
1976-07-01,1976,3,0,1.7,,1002.80,1,20.08,11.03
1976-10-01,1976,4,0,2.4,,990.20,1,20.08,11.03
1977-01-01,1977,1,0,0.3,,1004.70,0,19.82,11.37
1977-04-01,1977,2,0,0.4,,919.10,0,19.82,11.37
1977-07-01,1977,3,0,0.6,,916.30,0,19.82,11.37
1977-10-01,1977,4,0,7.4,,847.10,0,19.82,11.37
1978-01-01,1978,1,0,11.9,,831.20,0,19.72,11.13
1978-04-01,1978,2,0,0.3,,757.40,0,19.72,11.13
1978-07-01,1978,3,0,2.0,,819.00,0,19.72,11.13
1978-10-01,1978,4,0,0.8,,865.80,0,19.72,11.13
1979-01-01,1979,1,0,48.5,,805.00,0,19.94,11.68
1979-04-01,1979,2,1,70.0,,862.20,0,19.94,11.68
1979-07-01,1979,3,1,40.4,,842.00,0,19.94,11.68
1979-10-01,1979,4,1,39.0,,878.60,0,19.94,11.68
1980-01-01,1980,1,1,81.7,,838.70,1,19.74,11.18
1980-04-01,1980,2,1,99.8,,785.80,1,19.74,11.18
1980-07-01,1980,3,0,36.7,,867.90,1,19.74,11.18
1980-10-01,1980,4,0,6.8,,932.40,1,19.74,11.18
1981-01-01,1981,1,0,1.6,,964.00,0,19.37,11.46
1981-04-01,1981,2,1,60.2,,1003.90,0,19.37,11.46
1981-07-01,1981,3,1,78.9,,976.90,0,19.37,11.46
1981-10-01,1981,4,1,99.0,-2.42,850.00,0,19.37,11.46
1982-01-01,1982,1,1,99.1,-0.47,875.00,0,18.87,11.64
1982-04-01,1982,2,1,78.7,-0.06,822.80,0,18.87,11.64
1982-07-01,1982,3,0,92.2,-0.16,811.90,0,18.87,11.64
1982-10-01,1982,4,0,84.5,0.48,896.30,0,18.87,11.64
1983-01-01,1983,1,0,31.6,1.69,1046.50,0,18.13,11.95
1983-04-01,1983,2,0,0.5,2.20,1130.00,0,18.13,11.95
1983-07-01,1983,3,0,0.3,2.73,1222.00,0,18.13,11.95
1983-10-01,1983,4,0,0.7,3.12,1233.10,0,18.13,11.95
1984-01-01,1984,1,0,0.1,3.13,1258.60,1,17.79,12.87
1984-04-01,1984,2,0,0.6,2.58,1164.90,1,17.79,12.87
1984-07-01,1984,3,0,7.3,2.07,1132.40,1,17.79,12.87
1984-10-01,1984,4,0,6.9,1.93,1206.70,1,17.79,12.87
1985-01-01,1985,1,0,30.0,2.03,1211.60,0,17.76,13.09
1985-04-01,1985,2,0,19.0,2.02,1266.80,0,17.76,13.09
1985-07-01,1985,3,0,17.2,1.96,1335.50,0,17.76,13.09
1985-10-01,1985,4,0,26.6,1.97,1328.60,0,17.76,13.09
1986-01-01,1986,1,0,10.0,1.64,1546.70,0,17.56,12.59
1986-04-01,1986,2,0,19.8,1.50,1818.60,0,17.56,12.59
1986-07-01,1986,3,0,16.2,1.63,1892.70,0,17.56,12.59
1986-10-01,1986,4,0,13.9,1.92,1767.60,0,17.56,12.59
1987-01-01,1987,1,0,6.8,1.82,1896.00,0,17.16,13.56
1987-04-01,1987,2,0,5.8,2.03,2304.70,0,17.16,13.56
1987-07-01,1987,3,0,2.4,2.04,2418.50,0,17.16,13.56
1987-10-01,1987,4,0,2.3,2.07,2596.30,0,17.16,13.56
1988-01-01,1988,1,0,3.1,1.87,1938.80,1,16.80,15.26
1988-04-01,1988,2,0,5.4,2.20,1988.10,1,16.80,15.26
1988-07-01,1988,3,0,7.8,1.86,2141.70,1,16.80,15.26
1988-10-01,1988,4,0,4.2,2.05,2112.90,1,16.80,15.26
1989-01-01,1989,1,0,4.9,1.81,2168.60,0,16.86,14.76
1989-04-01,1989,2,0,5.6,1.24,2293.60,0,16.86,14.76
1989-07-01,1989,3,0,9.3,0.98,2440.10,0,16.86,14.76
1989-10-01,1989,4,1,12.5,1.17,2692.80,0,16.86,14.76
1990-01-01,1990,1,1,28.9,1.61,2753.20,0,16.72,14.83
1990-04-01,1990,2,1,40.6,1.16,2707.20,0,16.72,14.83
1990-07-01,1990,3,1,79.6,0.32,2880.70,0,16.72,14.83
1990-10-01,1990,4,1,95.1,-0.21,2452.50,0,16.72,14.83
1991-01-01,1991,1,1,97.0,-0.28,2633.70,0,16.49,14.18
1991-04-01,1991,2,0,90.2,0.44,2913.90,0,16.49,14.18
1991-07-01,1991,3,0,80.7,1.02,2906.80,0,16.49,14.18
1991-10-01,1991,4,0,78.3,0.75,3016.80,0,16.49,14.18
1992-01-01,1992,1,0,62.6,1.00,3168.80,1,15.66,15.35
1992-04-01,1992,2,0,53.6,1.35,3235.50,1,15.66,15.35
1992-07-01,1992,3,0,23.9,1.33,3318.50,1,15.66,15.35
1992-10-01,1992,4,0,14.2,1.89,3271.70,1,15.66,15.35
1993-01-01,1993,1,0,35.3,1.83,3301.10,0,15.74,14.95
1993-04-01,1993,2,0,20.9,1.56,3435.10,0,15.74,14.95
1993-07-01,1993,3,0,8.4,1.99,3516.10,0,15.74,14.95
1993-10-01,1993,4,0,2.6,2.04,3555.10,0,15.74,14.95
1994-01-01,1994,1,0,4.4,1.97,3754.10,0,15.69,14.92
1994-04-01,1994,2,0,3.9,2.22,3636.00,0,15.69,14.92
1994-07-01,1994,3,0,2.8,2.22,3625.00,0,15.69,14.92
1994-10-01,1994,4,0,2.6,2.12,3843.20,0,15.69,14.92
1995-01-01,1995,1,0,11.8,1.76,3834.40,0,15.32,15.48
1995-04-01,1995,2,0,9.8,1.13,4157.70,0,15.32,15.48
