Year,Month,Year.month,Anomaly_average
1880,1,1880.1,-0.5818709677
1880,2,1880.2,-1.285103448
1880,3,1880.3,-1.11383871
1880,4,1880.4,-0.6359
1880,5,1880.5,-0.1220967742
1880,6,1880.6,-0.2363
1880,7,1880.7,-0.1203870968
1880,8,1880.8,-0.2069354839
1880,9,1880.9,-0.5526
1880,10,1880.10,-0.4872903226
1880,11,1880.11,-0.7216
1880,12,1880.12,-0.4390645161
1881,1,1881.1,-0.699
1881,2,1881.2,-0.4301785714
1881,3,1881.3,-0.02235483871
1881,4,1881.4,0.05743333333
1881,5,1881.5,0.4128064516
1881,6,1881.6,-0.5961
1881,7,1881.7,0.08374193548
1881,8,1881.8,-0.05006451613
1881,9,1881.9,-0.2931666667
1881,10,1881.10,-0.7658387097
1881,11,1881.11,-1.0828
1881,12,1881.12,-0.2014193548
1882,1,1882.1,-0.05103225806
1882,2,1882.2,0.2419285714
1882,3,1882.3,-0.1049677419
1882,4,1882.4,-0.3853666667
1882,5,1882.5,-0.3788064516
1882,6,1882.6,-0.3572
1882,7,1882.7,-0.4602903226
1882,8,1882.8,-0.1212580645
1882,9,1882.9,-0.3595
1882,10,1882.10,-0.6735483871
1882,11,1882.11,-1.3
1882,12,1882.12,-1.320258065
1883,1,1883.1,-1.263483871
1883,2,1883.2,-0.8809642857
1883,3,1883.3,-0.5131290323
1883,4,1883.4,-0.08293333333
1883,5,1883.5,-0.2758709677
1883,6,1883.6,0.2442333333
1883,7,1883.7,-0.2690322581
1883,8,1883.8,-0.5439677419
1883,9,1883.9,-0.6707666667
1883,10,1883.10,-0.5108709677
1883,11,1883.11,-0.9441666667
1883,12,1883.12,-0.4578064516
1884,1,1884.1,-0.6552903226
1884,2,1884.2,-0.4423103448
1884,3,1884.3,-1.046032258
1884,4,1884.4,-1.0679
1884,5,1884.5,-0.9305483871
1884,6,1884.6,-0.6453
1884,7,1884.7,-0.7337741935
1884,8,1884.8,-0.477
1884,9,1884.9,-0.6707333333
1884,10,1884.10,-0.8559677419
1884,11,1884.11,-0.9931333333
1884,12,1884.12,-0.8419354839
1885,1,1885.1,-1.36516129
1885,2,1885.2,-0.9803571429
1885,3,1885.3,-0.5896451613
1885,4,1885.4,-0.2235666667
1885,5,1885.5,-0.5500645161
